local_datetime,NB_average_delay,SB_average_delay,NB_average_traveltime,SB_average_traveltime,min_units,NB_average_speed,SB_average_speed,speed_units
6/5/2025 8:00,0.09,0,0.71,0.54,mins,38.2,48.9,mph
6/5/2025 9:00,0.03,0,0.65,0.55,mins,41,47.7,mph
6/5/2025 10:00,0.04,0.02,0.63,0.57,mins,42.6,46.4,mph
6/5/2025 11:00,0,0.01,0.6,0.57,mins,44,46.4,mph
6/5/2025 12:00,0.02,0,0.61,0.55,mins,43.8,47.8,mph
6/5/2025 13:00,0.03,0.01,0.63,0.57,mins,42.1,46.8,mph
6/5/2025 14:00,0.06,0,0.67,0.55,mins,39.4,47.8,mph
6/5/2025 15:00,0.07,0,0.67,0.55,mins,40,47.7,mph
6/5/2025 16:00,0.02,0.01,0.6,0.56,mins,43.8,47.2,mph
6/5/2025 17:00,0.03,0,0.64,0.54,mins,41.4,48.8,mph
6/5/2025 18:00,0.02,0.03,0.6,0.56,mins,44.1,47.8,mph
6/5/2025 19:00,0.02,0,0.59,0.53,mins,45,49.6,mph
6/5/2025 20:00,0.05,0.01,0.67,0.57,mins,39.9,46.5,mph
6/5/2025 21:00,0.02,0,0.6,0.54,mins,44.4,48.6,mph
6/5/2025 22:00,0.03,0,0.63,0.52,mins,41.9,50.8,mph
6/5/2025 23:00,0.01,0,0.6,0.54,mins,44.3,49.2,mph
6/6/2025 0:00,0,0,0.55,0.53,mins,47.8,50,mph
6/6/2025 1:00,0,0,0.54,0.53,mins,48.9,50.3,mph
6/6/2025 2:00,0,0,0.59,0.58,mins,44.5,45.5,mph
6/6/2025 3:00,0.01,0,0.62,0.61,mins,42.8,43.1,mph
6/6/2025 4:00,0,0,0.53,0.59,mins,50.6,44.8,mph
6/6/2025 5:00,0.01,0,0.56,0.58,mins,46.9,45.5,mph
6/6/2025 6:00,0.02,0,0.6,0.52,mins,43.9,50.9,mph
6/6/2025 7:00,0.05,0,0.65,0.53,mins,41.3,50,mph
6/6/2025 8:00,0.09,0,0.67,0.54,mins,41.6,48.9,mph
6/6/2025 9:00,0.06,0,0.66,0.55,mins,41,48.2,mph
6/6/2025 10:00,0.01,0,0.57,0.55,mins,46.3,47.9,mph
6/6/2025 11:00,0.02,0.02,0.6,0.57,mins,44,46.6,mph
6/6/2025 12:00,0.05,0,0.65,0.55,mins,41.2,48.2,mph
6/6/2025 13:00,0.07,0,0.67,0.57,mins,40.7,46.2,mph
6/6/2025 14:00,0.05,0,0.64,0.55,mins,42.2,48.4,mph
6/6/2025 15:00,0.04,0.01,0.63,0.56,mins,42.5,47.3,mph
6/6/2025 16:00,0.01,0.02,0.59,0.58,mins,45.1,46.1,mph
6/6/2025 17:00,0.05,0,0.62,0.55,mins,43.3,47.8,mph
6/6/2025 18:00,0,0,0.53,0.55,mins,49.8,47.8,mph
6/6/2025 19:00,0.02,0.01,0.56,0.58,mins,47.5,45.7,mph
6/6/2025 20:00,0.04,0,0.66,0.55,mins,40.3,47.5,mph
6/6/2025 21:00,0.03,0,0.64,0.55,mins,41.4,48,mph
6/6/2025 22:00,0.02,0,0.61,0.55,mins,43.7,48.4,mph
